Titel,Samenvatting,Locatie,Datum,Link
"Metaaldieven maken misbruik van overstromingen in Voeren, maar probleem is niet nieuw: ""Overstromingen hebben alles in stroomversnelling gebracht""","De politie in Voeren houdt verhoogd toezicht in Moelingen omdat dieven oud ijzer en koper komen stelen bij de slachtoffers van de overstromingen Op straat ligt heel wat vernield materiaal en daar maken de metaaldieven gretig gebruik van De politie heeft deze middag een Roemeen op heterdaad kunnen betrappen met een bestelwagen vol oud ijzer ""Er zijn al een aantal feiten vastgesteld tijdens de patrouilles"" zegt Alain Stas korpschef van politiezone Voeren ""Vandaag hebben we een Roemeen gearresteerd De man stond internationaal geseind We hebben hem op heterdaad kunnen betrappen met een bestelwagen vol oud ijzer Dat ijzer is naar het recyclagepark gebracht"" Het is niet de eerste keer dat de gemeente te kampen heeft met metaaldieven Het probleem doet zich al veel langer voor ""We hebben er al een paar maanden last van dus ook al voor de overstromingen Vaak gaat het om mensen uit Oost-Europa die met gammele bestelwagens rondrijden Zij stelen allerlei metalen en brengen die naar Nederland om daar te verkopen Die voertuigen zijn vaak niet in orde en niet verzekerd dus dat kan tot gevaarlijke situaties leiden"" zegt Stas Actieplan in sneltempo ingevoerd De politie was zelfs al bezig met het opstellen van een actieplan om de dieven af te schrikken Dat was nog niet klaar maar door de overstromingen moest dat in een sneltempo ingevoerd worden ""De overstromingen hebben het erger gemaakt zeker omdat half Moelingen vol ligt met metaal Het aantal meldingen dat wij binnenkrijgen van verdachte bestelwagens en mensen die tussen het materiaal snuffelen is gigantisch gestegen We hebben het actieplan daarom al vervroegd uitgerold We zetten nu extra patrouilles in om alles in de gaten te houden"" Dat actieplan blijkt zijn vruchten af te werpen zeker met de arrestatie van de geseinde Roemeense verdachte Dat geeft de politie moed om verder op zoek te gaan naar de metaaldieven ""We hopen om de burgers een beetje gerust te kunnen stellen want dit zorgt voor een groot onveiligheidsgevoel Bepaalde huizen zijn ondergelopen en zijn daardoor niet meer slotvast of afgesloten Als je dan allemaal verdachte camionetjes door de straten ziet rijden word je ongerust We proberen om met het actieplan de situatie onder controle te houden"" zegt de korpschef nog ",Voeren,2024-05-22,https://www.vrt.be/vrtnws/nl/2024/05/22/voeren-wordt-geplaagd-door-ijzerdieven/
"Kortenaken, Rotselaar en Diest bereiden zich voor op mogelijk nieuwe overstromingen: ""Momenteel alles onder controle""","In Kortenaken hebben inwoners de voorbije dagen al heel wat water over zich heen gekregen In Hoeleden zat het wachtbekken van de Velpe dan bijna helemaal vol met zon 800 miljoen liter water Om een buffercapaciteit te hebben wordt het water in het wachtbekken gecontroleerd weggepompt Wachtbekken van Hoeleden heeft momenteel een capaciteit van 80 procent Kristof Mollu burgemeester Kortenaken KORTbij ""Door het water gecontroleerd te laten weglopen in de Velpe hebben we in het wachtbekken van Hoeleden momenteel een capaciteit van 80 procent"" vertelt burgemeester Kristof Mollu KORTbij ""Op deze manier hopen we de verwachte neerslag van vandaag te kunnen opvangen Maar mocht dat niet voldoende zijn en het wachtbekken driegt toch nog over te lopen dan staan de brandweer en onze technische dienst klaar om zandzakjes te verspreiden waar nodig"" Diest ""Voorlopig onder controle"" Ook in Diest wordt het waterpeil goed opgevolgd Voorlopig zijn de waterstanden er onder controle ""Wij zijn voorlopig gespaard gebleven van overstromingen"" stelt burgemeester Christophe De Graef Open Diest ""Maar dat wil niet zeggen dat we ons niet voorbereiden op wat nog kan komen Gisteren hebben we nog de waterstanden gecontroleerd en die zijn voorlopig onder controle Maar we houden ons klaar Zo zullen onze stadsdiensten vandaag een hele dag slikkers en roosters proper maken zodat het water goed kan doorstromen"" Lokale crisiscel in Rotselaar In Rotselaar komt de lokale crisiscel vandaag bijeen om de toestand te evalueren In de gemeente staat het water in de beken en rivieren alarmerend hoog De situatie van de Winge de Laak en de Losting schuurt aan tegen het alarmpeil maar is momenteel onder controle ""Het waterpeil van de waterlopen wordt nauwgezet opgevolgd en er zijn zandzakjes voor wie ze nodig heeft Mogelijk worden er nog bijkomende maatregelen genomen"" zegt burgemeester Jelle Wouters ROX"" ","['Kortenaken', 'Rotselaar', 'Diest']",2024-05-21,https://www.vrt.be/vrtnws/nl/2024/05/21/wateroverlast-voorkomen-kortenaken-rotselaar-en-diest/
Voeren biedt psychologische hulp aan bewoners na opeenvolgende overstromingen,"De gemeente Voeren wil samen met FOD Volksgezondheid en CAW Limburg psychosociale hulp aanbieden aan inwoners die daar nood aan hebben ""In begin waren er andere prioriteiten maar nu zijn we psychosociale hulp aan het voorbereiden"" zegt burgemeester Joris Gaens Voerbelangen ""Enerzijds bereiden we schriftelijke communicatie voor met meer informatie maar we willen iets verder gaan We willen de mensen persoonlijk benaderen en hulp naar hun thuis sturen als ze daar nood aan hebben"" Opeenvolgende overstromingen Er is wel veel nood aan zon hulp bij een groot deel van de inwoners ""Dat komt door de opeenvolging van overstromingen"" gaat Gaens verder ""Het is in 2018 gebeurd in 2021 en nu weer Dus dat hakt er wel in bij de mensen En we verwachten opnieuw veel neerslag vanavond dus het is heel begrijpelijk dat dat zwaar is voor de inwoners Daarom is het belangrijk dat we die hulp kunnen aanbieden"" De bedoeling is om die hulp zo laagdrempelig mogelijk te maken en dat die de komende dagen op gang komt ""Het is belangrijk om die hulp snel aan te bieden want de nood is nu hoog Dus het is de bedoeling om die hulp op heel korte termijn aan te bieden"" ",Voeren,2024-05-21,https://www.vrt.be/vrtnws/nl/2024/05/21/voeren-biedt-psychologische-hulp-aan-bewoners-na-opeenvolgende-o/
"Duo uit Sint-Niklaas verkoopt kunst voor slachtoffers watersnood Wallonië: ""Ze hebben verwarming nodig""","Vanaf de eerste dag van de overstromingen in Wallonië verzamelde zich in Sint-Niklaas een groep mensen die in het getroffen gebied ging helpen Na 5 maanden gaat het om een groep van 80 vrijwilligers verspreid over het Waasland die intussen al 20 keer naar Wallonië trok Onder andere om eten te bedelen ""Want zonder gas en electriciteit kun je niet koken"" steekt initiatiefneemster Debby Burssens van wal ""Eigenlijk hebben ze daar dringend nood aan 2 zaken vrijwlligers om muren te pleisteren En verwarmings- en elektrische toestellen"" Lokale kunstenaars Samen met kunstenaar Djack Carlier stak ze zelf al serieus de handen uit de mouwen Maar nu het eindejaar nadert en er nog teveel slachtoffers hulp nodig hebben willen de twee meer Ze staken de koppen bijeen en zo kwamen ze bij de verkoop van Sint-Niklase kunst""Intussen hebben we al bijna 35 Sint-Niklase kunstenaars die iets verkopen Dat is zeer uiteenlopend boeken gedichten kerstkaarten handgemaakte keramiek enz Djack zelf verkoopt planten en mijn mama maakt zakjes gevuld met chocolade Er is zelfs een luisterverhaal bij"" vertelt Debby enthousiast ""Hoe mooi is het niet om een geschenkje te geven waarbij je meteen ook een goed werk steunt De prijzen variëren van 5 tot 2000 euro voor elk wat wils dus"" besluit ze ",Sint-Niklaas,2021-12-15,https://www.vrt.be/vrtnws/nl/2021/12/15/koppel-uit-sint-niklaas-verkoopt-kunst-om-slachtoffers-watersnoo/
"Natuurpunt gaat bufferzones aanleggen in Aalst en Dendermonde als wapen tegen overstromingen, hitte en droogte","In Oost-Vlaanderen start Natuurpunt projecten aan de Meirdam in Dendermonde en aan de Houzekouter in Aalst waterrijke gebieden of zogenaamde wetlands ""Door extra water te bufferen in wetlands willen we overstromingen zoals die van voorbije zomer milderen of tegengaan” legt Lander Wantens van Natuurpunt uit “We willen steden ook klimaatrobuust maken door het milderen van het hitte-eiland- effect De omliggende natuurgebieden zijn vaak een pak koeler 6 à 8 graden celsius tijdens hete zomerdagen Door extra water te laten infiltreren in de bodem willen we het sponseffect versterken en de omgeving weerbaarder maken tegen droogte en hitte” Weerbaarheid tegen wateroverlast In Dendermonde wil Natuurpunt het gebied aan de Meirdam toegankelijk maken voor de omwonenden en de omgeving weerbaar maken voor wateroverlast door extra water in het gebied te bufferen Wantens vult aan ""in Aalst plannen we om samen met een private eigenaar en de stad overstromingen zoals in juli te voorkomen door water te bufferen in de beekvallei"" Wetlands zijn niet enkel voor de natuur van belang maar ook voor het klimaat Lander Wantens Natuurpunt Waterrijke gebieden of wetlands behoren tot meest waardevolle ecosystemen in Europa Het zijn hotspots van biodiversiteit waar duizenden bijzondere planten- en diersoorten zich thuis voelen Ze zijn niet enkel voor de natuur van levensbelang maar ook voor het klimaat en onrechtreeks dus voor ons ""En natuurlijk kan je in wetlands ook heerlijk wandelen of fietsen ontspannen en van de natuur en de rust genieten"" besluit Lander Wantens Alle projectgebieden zullen toegankelijk zijn voor het publiek ","['Aalst', 'Dendermonde']",2021-10-06,https://www.vrt.be/vrtnws/nl/2021/10/06/natuurpunt-wil-bufferzones-aanleggen-in-regio-aalst-dendermonde/
"Pompgemaal in Gistel blijft van groot belang voor de omgeving: ""Zonder zou alles hier snel onder water staan""","Op de grens met Oudenburg en Gistel is het heerlijk fietsen langs de fietsknooppunten Het brengt je ook langs het pompgemaal van Gistel dat nog altijd van groot belang is voor de omgeving ""Dit gemaal voorkomt dat zon 3000 hectare hier in de buurt kan overstromen We liggen hier ongeveer 2 meter onder het zeeniveau en het water moet van laag naar hoog worden gepompt Dat is belangrijk voor ons landbouwbedrijf Die pompen zorgen dat onze gewassen goed kunnen groeien en het water snel weg is Het is ook belangrijk voor de huizen in de buurt zodat die niet onder water komen te staan"" vertelt landbouwer Pieter Vanhevel aan Radio 2 West-Vlaanderen Lees voort onder de foto Radio 2 Minder krachtige pomp Het pompgemaal van Gistel werkt met elektrische pompen en ook nog met 2 dieselpompen Als ze samen in werking treden is dat goed voor zon 5400 liter per seconde Neem die dieselpompen weg dan kan het in natte periodes heel snel fout lopen weet dijkwachter Peter Teunissen ""Ik moet ervoor zorgen dat het water hier op peil blijft De kans bestaat dat de dieselpompen uit dienst genomen worden maar dat zou slecht nieuws zijn voor de landbouwers De klassieke akkerbouw zou wellicht niet meer mogelijk zijn in deze ruime omgeving Het blijft belangrijk dat het pompgemaal hier op volle kracht kan blijven draaien zeker met de steeds extremere weersomstandigheden"" Radio 2 ",Gistel,2020-07-24,https://www.vrt.be/vrtnws/nl/2020/07/24/pompgemaal-in-gistel-van-groot-belang-voor-de-omgeving-zonder/
Herne wil vooral bruisend blijven,Herne kon samen met de gemeenten Bever en Galmaarden in Tollembeek een voorpost van de brandweer realiseren waardoor een verbeterde medische hulpverlening en snellere brandweerinterventie mogelijk werden Ook de wegen werden aangepakt “We hebben jaarlijks 500000 euro besteed aan het heraanleggen of opfrissen van onze landelijke wegen die samen meer dan 120 km lang zijn We slaagden er ook in onze jaarlijkse schuldenlast met 30% af te bouwen” zegt burgemeester Poelaert Er was heel wat te doen rond de milieuoverlast die de ijzergieterij Fondatel veroorzaakte en het plotse nieuws dat de fabriek de productie wil verhuizen en uit Herne wil vertrekken Herne werd de jongste twee jaar ook getroffen door overstromingen De gemeente gaat die problematiek verder aanpakken in overleg met buurgemeenten en provincie “We willen een aantal Ruimtelijke Uitvoeringsplannen uitvoeren Het gaat over de herschikking van de Fondatelsite naar woonsite en het herinrichten van de stationsomgeving maar ook over de uitbreiding van rustoord St-Felix de school De Bloesem en de toekomstige uitbreiding op de schoolsite Markvallei voor openbaar nut” vertelt Poelaert Er komt ook een fietspad tussen Herne en Kokejane en de gemeente wil 34 sociale woonentiteiten verkopen en verhuren “We blijven ons verenigingsleven en buurtleven ondersteunen en de verdere vergrijzing aanpakken We willen Herne gewoonweg bruisend houden” zegt Poelaert Oppositie wil meer voetpaden Open VLD zit in Herne in de oppositie De partij kan zich niet vinden in de aankoop van het Dominicanessenklooster wegens de hoge kostprijs en de ouderdom van het gebouw De partij wil de belastingen op hetzelfde peil houden en de gemeentelijke gebouwen energiezuiniger maken Volgens waarnemend voorzitter Robert Rotsaert moeten er in Herne meer voetpaden komen en moet het verkeersnetwerk aangepakt worden De partij staat wel achter de uitbreiding van het rustoord Open VLD heeft nu drie gemeenteraadsleden en één OCMW-raadslid Bij de vorige gemeenteraadsverkiezingen kwam Open VLD samen met de SPA op In oktober wil de partij alleen naar de kiezer stappen Freddy Kempeneer ,Herne,2012-04-16,https://www.vrt.be/vrtnws/nl/2012/04/15/herne_wil_vooralbruisendblijven-1-1240448/
"Geraardsbergen plaatst ""verplaatsbare dammen""","Het gaat om een systeem van steunpilaren uit aluminium die opengeklapt kunnen worden en waar tussenschotten tussen geschoven worden ""Dit vergt de nodige onderzoeken en neemt dan ook heel wat tijd in beslag"" aldus duurzaamheidsambtenaar Liesbet Van de Casteele ""Om problemen op korte termijn aan te pakken werden modulaire elementen aangekocht die op korte tijd en met een beperkt aantal mensen opgesteld kunnen worden"" ",Geraardsbergen,2012-04-17,https://www.vrt.be/vrtnws/nl/2012/04/17/geraardsbergen_plaatstverplaatsbaredammen-1-1276249/
Limburgse rivieren staan erg hoog door hevige regenval en smeltwater,"De afgelopen dagen heeft het al veel geregend in onze provincie en ook de komende dagen zal dat zo blijven Het einde van het water is dus nog niet in zicht Ook het smeltwater van Wallonië en Frankrijk komt onze kant uit De situatie blijft dus precair volgens weerman Frank Deboosere En dat zien we ook aan de Limburgse rivieren die nu opvallend hoger staan dan anders In Herbricht Lanaken staat het water momenteel heel breed In het verleden waren er al heel vaak overstromingen in de gemeente Maar de laatste winters is het er droog De winterbeddingen hebben hun werk gedaan Cafébaas Rudi Smeets woont al 57 jaar in de gemeente In al die jaren heeft hij 20 overstromingen meegemaakt “5 binnenshuis en 15 buitenshuis” vertelt hij “De ergste was met Kerstmis in 1993 In huis stond het water toen 67 centimeter hoog en in het café 54 centimeter want dat ligt wat hoger We zijn toen na een aantal dagen geëvacueerd omdat we zonder water elektriciteit en verwarming zaten” lees verder onder de foto Rudi Smeets uit Herbricht is er nog gerust in foto Radio 2 Tien jaar geleden was de laatste overstroming Cafébaas Rudi Smeets 10 à 15 jaar geleden zijn ze in Herbricht gestart met een Grensmaasproject Dat werd enkele jaren geleden afgerond en daardoor kan de Maas perfect uitdeinen ""Tien jaar geleden was de laatste overstroming Sindsdien hebben we er geen meer gehad We zijn niet bang want verwachten ook geen overstromingen meer"" besluit de cafébaas Beluister hier het volledige gesprek met reporter Fred Breuls ",Lanaken,2021-01-29,https://www.vrt.be/vrtnws/nl/2021/01/29/limburgse-rivieren-staan-erg-hoog-door-hevige-regenval/
Problemen Heulebeek: omwonenden mogen zelf oplossingen voorstellen,"De Vlaamse Milieumaatschappij wil de problemen in de vallei van de Heulebeek aanpakken Dat gebeurt in samenwerking met de lokale besturen en de intercommunale Leiedal Maar ook de gewone burger krijgt inspraak Alle inwoners van Kortrijk Kuurne Ledegem Moorslede Wevelgem en Zonnebeke kunnen via een online test en een ideeënplatform een jaar lang oplossingen voorstellen Draagvlak creëren Katrien Smet van de Vlaamse Milieumaatschappij ""We willen daar iedereen bij betrekken Landbouwers hebben soms terreinkennis die niemand anders heeft Met die manier van werken hopen we ook op meer begrip voor de maatregelen Niemand wil water in zijn huis of tuin maar als er daarvoor een stuk grond onteigend moet worden is dat een ander verhaal Door de mensen te betrekken rekenen we op een groter draagvlak"" Op het einde van het project zullen de maatregelen vastgelegd worden in een zogenaamd ""riviercontract"" voor de Heulebeek Bekijk het verslag uit ""Het Journaal"" hier Videospeler inladen ","['Leiedal', 'Kortrijk', 'Kuurne', 'Ledegem', 'Moorslede', 'Wevelgem', 'Zonnebeke']",2020-02-06,https://www.vrt.be/vrtnws/nl/2020/02/06/riviercontract-heulebeek/
"Storm Dennis raast door Europa: overstromingen in Verenigd Koninkrijk, chaos op luchthaven Heathrow ","Na de doortocht van Ciara vorige week veroorzaakt de nieuwe storm Dennis nu overlast in het Verenigd Koninkrijk Doordat de grond nog verzadigd is van de hevige regenval vorige week richt de storm nu extra veel schade aan Liveblog Verlichtingspaal naar beneden regen wind en schade herbekijk en -lees de liveblog over storm Dennis Update zo 16 feb 2020 2257 Gisteren kwamen al twee mensen om het leven door het noodweer een jongeman werd meegesleurd door een vloedgolf op het strand en een andere man sloeg overboord van een schip In Schotland moesten hulpdiensten ook twee mensen uit een auto helpen nadat die van de weg was geblazen Het leger werd ook ingeroepen om burgers te beschermen tegen de overstroming Vandaag is ook het lichaam geborgen van een 60-jarige man die in een rivier viel in het zuiden van Wales En de storm raast gewoon door In Wales Engeland en Schotland zijn meer dan 300 waarschuwingen voor overstromingen uitgeschreven waarvan enkele zelfs melden dat ze levensbedreigend kunnen zijn Voor Wales was tot 12 uur onze tijd code rood van kracht wat wil zeggen dat bewoners werd aangeraden om zich te wapenen tegen het weer en zich niet te verplaatsen Over heel het Verenigd Koninkrijk zijn vandaag de meeste waarschuwingen voor overstromingen ooit uitgeschreven Lees voort onder de tweet Er zijn ook windsnelheden tot 146 km per uur gemeten Veel mensen in het zuiden van Wales moesten door politie of brandweer uit hun ondergelopen huizen gered worden Honderden vluchten zijn geannuleerd en ook het treinverkeer is door de storm zwaar verstoord En dat net in het weekend dat in Groot-Brittannië de krokusvakantie begint Chaos op Heathrow Op de Londens luchthaven Heathrow heerst er chaos zeggen Ketnet-collegas Telidja Klaï en Maarten Janssen Tientallen vluchten zijn afgelast en honderden mensen zitten er vast Na een vlucht uit de VS proberen ze al de hele dag een aansluiting naar Brussel te krijgen maar zonder succes Klaï wijt de chaos aan een combinatie van de storm Dennis en een technische storing waardoor de berichtenpanelen uitgevallen zijn De hotelvouchers zijn op en ook de shuttlebussen rijden onregelmatig De gestrande reizigers moeten hun plan trekken voor de nacht Lees voort onder de foto en de video Videospeler inladen De overstromingswaarschuwingen blijven waarschijnlijk nog enkele dagen van kracht Het Britse Rode Kruis verwacht dat de hoogste waterstanden voor morgen en dinsdag zullen zijn en bereidt zich hierop voor Lees voort onder de foto Een evacuatie in Wales 16 februari 2020 AFP or licensors Een high five voor een geslaagde evacuatie Wales 16 februari 2020 AFP or licensors Straten staan blank in het zuiden van Wales 16 februari 2020 AFP or licensors Ook problemen in Frankrijk Ook in Frankrijk laat Dennis zich voelen Al zon 14000 gezinnen in het noorden en westen van het land zitten zonder stroom vooral in de regio Bretagne De energiemaatschappij heeft zon 450 medewerkers ingeschakeld om het probleem zo snel mogelijk op te lossen Het treinverkeer is in de war gestuurd door af- en omgewaaide takken en bomen op de sporen In vier departementen van Bretagne is code oranje afgekondigd Daar kan de windsnelheid oplopen tot 120 km per uur Ook de ferrydienst tussen het Franse Calais en het Engelse Dover is verstoord door de storm Bekijk hier het verslag van ""Het Journaal"" Videospeler inladen ",Brussel,2020-02-16,https://www.vrt.be/vrtnws/nl/2020/02/16/storm-dennis-raast-door-europa-overstromingen-in-verenigd-konin/
"Werken aan overstromingsgebied ""Polder van Lier"" van start gegaan","De aanpassingswerken aan het overstromingsgebied bij de polder van Lier zijn van start gegaan De werken zullen twee jaar duren De polder werd in de jaren 80 gebouwd om de stad te beschermen tegen overstromingen maar vangt nu niet meer genoeg water op ""We bouwen een grotere uitwateringssluis om ervoor te zorgen dat het water sneller uit het gebied wegvloeit en op die manier weer klaar is om nieuw water op te vangen"" zegt Caroline Peelaerts van de Vlaamse Waterweg Waterveiligheid Het overstromingsgebied zorgt voor de waterveiligheid in Lier legt Peelaerts uit ""Als het gebied water opvangt daalt de waterstand op de rivier Dat zorgt ervoor dat de dijken van de rivier minder onder druk komen te staan Zo is er minder kans dat ze breken Dat moet de huizen in de stad beschermen Overstromingen zijn er de laatste tijd niet meer geweest maar de aanpassingen zijn er vooral om bij nog grotere stormen voldoende beschermd te zijn"" Gaan de inwoners hinder ondervinden door de werken ""We starten met het bouwklaar maken van het terrein Daarvoor wordt de dijk tussen het overstromingsgebied en de Nete afgesloten Fietsers en wandelaars moeten nu een omleiding volgen"" ",Lier,2020-03-02,https://www.vrt.be/vrtnws/nl/2020/03/02/werken-lier-polder/
Hinder voor scheepvaart in Oost- en West-Vlaanderen,Op verschillende bevaarbare waterwegen worden hier en daar pre-waakdrempels overschreden Dat is momenteel het geval op de Dender onder meer in Pollare Aalst en Geraardsbergen op het kanaal Gent-Oostende Aalter en Beernem op de Leie Lauwe Menen Sint-Baafs-Vijve op het kanaal Roeselare-Leie en op de IJzer Lo-Fintele Waterwegen en Zeekanaal NV neemt maatregelen om het teveel aan water zo snel mogelijk af te voeren De stuw van Schipdonk in Merendree en de stuw in Balgerhoeke staan volledig open zodat er bij laagtij zoveel mogelijk water afgevoerd kan worden via het Afleidingskanaal van de Leie Er zijn ook afspraken gemaakt tussen Waterwegen en Zeekanaal NV en de Nederlandse waterwegbeheerder om extra water af te voeren via het sluizencomplex in Terneuzen Momenteel is er vloedregime op de Leie de Boven-Schelde en de Dender Dat betekent dat er vanwege de hoge stroomsnelheid niet gevaren mag worden op de Dender Op de Leie en de Boven-Schelde krijgen schippers een waarschuwing mee Verschillende sluizen worden ingezet om extra water af te voeren Daardoor is er ook hinder voor de scheepvaart op het kanaal Roeselare-Leie en op het kanaal Gent-Oostende in Brugge ,"['Pollare', 'Aalst', 'Geraardsbergen', 'Aalter', 'Beernem', 'Lauwe', 'Menen', 'Sint-Baafs-Vijve', 'Merendree', 'Brugge']",2016-05-31,https://www.vrt.be/vrtnws/nl/2016/05/31/hinder_voor_scheepvaartinoost-enwest-vlaanderen-1-2670569/
"""Huis in overstromingsgebied illegaal""",Plaatselijke milieubewegingen klagen al jaren aan dat er in het gebied gebouwd mag worden ondanks het feit dat het gevoelig is voor overstromingen Het Milieufront Omer Wattez diende een klacht in tegen de bouwvergunning en de Raad van State oordeelt nu dat de vergunning geen rekening houdt met de watertoets die wettelijk verplicht is De watertoets is een beleidsinstrument dat in 2003 door de Vlaamse overheid in het leven werd geroepen om te vermijden dat mensen nog zouden kunnen bouwen in overstromingsgebied In principe kun je in Vlaanderen pas een bouwvergunning krijgen als je grond die watertoets heeft doorstaan Bij het gemeentebestuur in Geraardsbergen is te horen dat er wèl rekening gehouden is met watertoets Volgens burgemeester Freddy De Chou vindt de Raad van State dat de beslissing om de bouwvergunning toe te kennen onvoldoende geargumenteerd is De gemeente is daarom van plan een nieuwe bouwvergunning die beter onderbouwd is af te leveren Er lopen overigens nog andere procedures bij de Raad van State tegen bouwvergunningen in dezelfde straat ,Geraardsbergen,2011-05-20,https://www.vrt.be/vrtnws/nl/2011/05/20/_huis_in_overstromingsgebiedillegaal-1-1028642/
"""Waterpeilen aan het zakken, maar waakzaamheid geboden""","""Het onweer afgelopen nacht heeft in Vlaams-Brabant - vooral in het Denderbekken - tot zeer hoge waterpeilen geleid Er was evenwel nooit gevaar voor woningen"" aldus Smet ""Wel werd op sommige plaatsen het waakpeil benaderd of overschreden Dat is het peil waarop waterlopen op het punt staan buiten hun oevers te treden maar enkel weilanden of akkers bedreigd zijn Dat was vandaag bijvoorbeeld het geval met de Bellebeek in Essene In Borchtlombeek werd beroep gedaan op het wachtbekken van de Vunzelbeek"" Wel liepen er op enkele plaatsen zoals Opwijk en Wemmel huizen onder water omdat de riolen het water niet konden slikken In Meise werden enkele straten in het centrum geconfronteerd met een modderstroom ""Het aangekondigde onweer kan het niveau van waterlopen in Vlaams-Brabant terug naar het waakpeil brengen maar we verwachten geen kritieke overstromingen die woningen bedreigen Overstromingen doordat riolen het water niet kunnen slikken blijven natuurlijk mogelijk Het blijft echter zeer moeilijk te voorspellen waar en hoe intens deze onweders zullen toeslaan"" aldus Smet ","['Essene', 'Borchtlombeek', 'Opwijk', 'Wemmel', 'Meise']",2014-07-11,https://www.vrt.be/vrtnws/nl/2014/07/11/_waterpeilen_aanhetzakkenmaarwaakzaamheidgeboden-1-2029713/
Filip uit Brugge gaat voor de 100e keer helpen in de Vesdervallei,"In de Vesdervallei liepen op 14 en 15 juli 2021 zo goed als alle huizen onder water De sporen van de overstroming zijn nog zichtbaar Veel woningen zijn nog een werf en de heropbouw van de infrastructuur verloopt traag De omvang van de ramp en de schrijnende verhalen lieten Filip Vanden Berghe niet los De 49-jarige Bruggeling besloot te gaan helpen Dat doet hij nu zestien maanden later nog steeds ""Filip de Bruges"" zoals ze hem daar noemen reed de 230 kilometer van Brugge voor het eerst op 24 juli 2021 Op sociale media zag hij een oproep verschijnen om schoolgerief en speelgoed in te zamelen voor de getroffen scholen en crèches ""Ik was al geschrokken van de beelden van de ramp op televisie"" vertel hij in ""De ochtend"" ""Ik ging naar mijn thuisbasis in Brugge naar de winkel en kocht daar voor een paar honderd euros schoolmateriaal en speelgoed"" Wanneer hij daarmee in de vallei toekwam zag hij de omvang van de ramp ""Het is altijd veel erger wanneer je het in het echt ziet Ik kon het niet bij die ene keer laten dacht ik doen"" Het weekend erna stond hij in een deelgemeente van Chaudfontaine de dag erna in Cheneé en de zestien maanden die daarop volgden stond een groot stuk van zijn leven in het teken van zijn nieuwe project BELUISTER - Leraar Filip Vanden Berghe doet zijn verhaal in ""De ochtend"" Filip Vanden Berghe uit Brugge ging al 100 keer helpen in Wallonië na watersnood Een camper en een trekker Achter die 100 dagen schuilt een hele organisatie De voeding en de schenkingen moeten opgehaald worden Dat moet allemaal bijgehouden worden Vanden Berghe is ook adressenlijsten beginnen te maken want hij ging sinds het begin tot bij de mensen thuis ""Ik sta niet op een marktje en zeg tegen de mensen om tot bij mij te komen"" Voor het immense werk kreeg hij hulp van zijn kompaan Patrick Danckaert eigenaar van een trekker en een camper Hij ging meermaals de tonnen voeding ophalen en afzetten in de vallei ""Dat is logistiek voor mij een voordeel Ik heb maar een klein wagentje Zonder hem zou het nooit zo groot geworden zijn Ik ben hem ontzettend dankbaar dat hij er was"" Ik heb het slechtste in de mens naar boven horen komen Filip Vanden Berghe 49 Zestien maanden na de ramp blijft vooral de psychische schade aanwezig Sommige inwoners zijn onzeker over de toekomst anderen rouwen nog om een verdronken familielid Vanden Berghe geeft Frans in de middelbare school waardoor hij een grote troef heeft Hij kan luisteren naar wat de mensen beleefd hebben ""Ik geef een beetje réconfort troost"" Die gesprekken zijn niet altijd mooi ""Ik heb mensen ontmoet die 48 uur lang op een dak hebben moeten wachten op hulp Veel mensen voelen zich in de steek gelaten door de verzekering of zijn opgelicht door hun aannemer tijdens de werken Ik heb het slechtste in de mens naar boven horen komen Maar ik heb ook gehoord dat ze erg dankbaar zijn voor de Vlamingen die hen hebben geholpen"" Eén jaar na de overstromingen Tijdslijn de zondvloed in de Vesder-vallei van toen tot nu di 12 jul 2022 0539 Ook door de overheid en door officiële instanties voelen de inwoners zich in de steek gelaten vertelt Vanden Berghe ""Ze hebben heel veel in hun eentje moeten doen en winters doorgebracht zonder verwarming Ik ben in huizen geweest waar het echt bitterkoud was Jammer genoeg heb ik ook gehoord over zelfdodingen mensen die het gewoon niet meer zagen zitten Ze zagen geen vooruitgang in de wederopbouw van hun huis"" 100 dagen 70 à 80 ton voeding en duizenden pakketjes later en Vanden Berghe is opnieuw ter plaatse in Chênée en La Brouck twee van de hardst getroffen plekken En hij blijft nog even doorgaan zeker met Sinterklaas en de kerstperiode zegt hij ""Er komt een dag dat het stopt maar dan ga ik wel eens terug voor de gezelligheid en om te babbelen"" ",Brugge,2022-11-27,https://www.vrt.be/vrtnws/nl/2022/11/27/100-dagen-vesdervallei/
